id;student_service;cafeteria;source_file;date;prod_type;production_location;actual_output;product_name;menu_text;group_level_2;code_main_protein;group_level_1
17830;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2016-05-20;essen ii/iii/iv(topsell);NA;101,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
17917;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2016-07-08;essen ii/iii/iv(topsell);NA;84,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
17989;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2016-10-14;essen ii/iii/iv(topsell);NA;144,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18070;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2016-12-02;essen ii/iii/iv(topsell);NA;105,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18145;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2017-01-27;essen ii/iii/iv(topsell);NA;115,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18221;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2017-03-17;essen ii/iii/iv(topsell);NA;112,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18299;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2017-05-05;essen ii/iii/iv(topsell);NA;90,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18371;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2017-06-16;essen ii/iii/iv(topsell);NA;73,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18572;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2017-12-07;essen ii/iii/iv(topsell);NA;118,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18630;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2018-01-18;essen ii/iii/iv(topsell);NA;124,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
18746;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2018-04-06;essen ii/iii/iv(topsell);NA;32,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
